name,train_losses,test_losses,train_accs,test_accs,generalization_error
QRNN_cifar2_ntrain500_batch64__rep1,0.2500666677951813,0.29897797107696533,0.9733333587646484,0.9300000071525574,0.04891130328178406
QRNN_cifar2_ntrain500_batch64__rep2,0.10999178141355515,0.2053104192018509,0.9866666793823242,0.949999988079071,0.09531863778829575
QRNN_cifar2_ntrain500_batch64__rep3,0.6912168264389038,0.6878288388252258,0.5311111211776733,0.5600000023841858,-0.0033879876136779785
QRNN_cifar2_ntrain500_batch64__rep4,0.10990135371685028,0.24017982184886932,0.9800000190734863,0.9199999570846558,0.13027846813201904
QRNN_cifar2_ntrain500_batch64__rep5,0.13009858131408691,0.2453022301197052,0.9844444394111633,0.9099999666213989,0.11520364880561829
QRNN_cifar2_ntrain1000_batch64__rep1,0.16946472227573395,0.27394717931747437,0.9822222590446472,0.9149999618530273,0.10448245704174042
QRNN_cifar2_ntrain1000_batch64__rep2,0.12028417736291885,0.3011340796947479,0.9811111092567444,0.8899999856948853,0.18084990978240967
QRNN_cifar2_ntrain1000_batch64__rep3,0.16659127175807953,0.286428302526474,0.9833333492279053,0.9099999666213989,0.11983703076839447
QRNN_cifar2_ntrain1000_batch64__rep4,0.1648363173007965,0.25522926449775696,0.9855555891990662,0.9300000071525574,0.09039294719696045
QRNN_cifar2_ntrain1000_batch64__rep5,0.16799232363700867,0.2576102316379547,0.9811111092567444,0.9199999570846558,0.08961790800094604
QRNN_cifar2_ntrain2000_batch128__rep1,0.10060873627662659,0.20399528741836548,0.9894444942474365,0.9424999952316284,0.10338655114173889
QRNN_cifar2_ntrain2000_batch128__rep2,0.1523839831352234,0.24782535433769226,0.9905555844306946,0.9350000023841858,0.09544137120246887
QRNN_cifar2_ntrain2000_batch128__rep3,0.15649402141571045,0.26366931200027466,0.9894444942474365,0.92249995470047,0.10717529058456421
QRNN_cifar2_ntrain2000_batch128__rep4,0.09491102397441864,0.21925115585327148,0.991111159324646,0.9350000023841858,0.12434013187885284
QRNN_cifar2_ntrain2000_batch128__rep5,0.09420442581176758,0.187233105301857,0.9916666746139526,0.949999988079071,0.09302867949008942
QRNN_cifar2_ntrain5000_batch128__rep1,0.09872131049633026,0.18991778790950775,0.9940000176429749,0.9500000476837158,0.09119647741317749
QRNN_cifar2_ntrain5000_batch128__rep2,0.13038577139377594,0.21149782836437225,0.9944444298744202,0.9490000605583191,0.08111205697059631
QRNN_cifar2_ntrain5000_batch128__rep3,0.1504814326763153,0.22512516379356384,0.9928889274597168,0.9500000476837158,0.07464373111724854
QRNN_cifar2_ntrain5000_batch128__rep4,0.09933403879404068,0.2151436060667038,0.9944444298744202,0.9340000152587891,0.11580956727266312
QRNN_cifar2_ntrain5000_batch128__rep5,0.19271709024906158,0.28066566586494446,0.9682222604751587,0.9140000343322754,0.08794857561588287
QRNN_cifar2_ntrain10000_batch256__rep1,0.14535899460315704,0.208626389503479,0.9952222108840942,0.9570000171661377,0.06326739490032196
QRNN_cifar2_ntrain10000_batch256__rep2,0.10000061243772507,0.16944386065006256,0.9926666617393494,0.9575000405311584,0.0694432482123375
QRNN_cifar2_ntrain10000_batch256__rep3,0.1120704784989357,0.1801709681749344,0.9948889017105103,0.9545000195503235,0.06810048967599869
QRNN_cifar2_ntrain10000_batch256__rep4,0.0948825478553772,0.1650853306055069,0.9962222576141357,0.9640000462532043,0.0702027827501297
QRNN_cifar2_ntrain10000_batch256__rep5,0.14473651349544525,0.21511587500572205,0.995555579662323,0.9550000429153442,0.0703793615102768
QRNN_cifar2_ntrain500_batch64_1_5_rep1,0.19072730839252472,0.5958335399627686,0.9711111187934875,0.75,0.40510624647140503
QRNN_cifar2_ntrain500_batch64_1_5_rep2,0.18475143611431122,0.5253387093544006,0.9755555987358093,0.7899999618530273,0.3405872583389282
QRNN_cifar2_ntrain500_batch64_1_5_rep3,0.19031508266925812,0.6023042798042297,0.9711111187934875,0.7299999594688416,0.4119892120361328
QRNN_cifar2_ntrain500_batch64_1_5_rep4,0.19529016315937042,0.5866469740867615,0.9688889384269714,0.7400000095367432,0.39135682582855225
QRNN_cifar2_ntrain500_batch64_1_5_rep5,0.6912186741828918,0.703324019908905,0.5311111211776733,0.4399999976158142,0.012105345726013184
QRNN_cifar2_ntrain1000_batch64_1_5_rep1,0.15359185636043549,0.5427340865135193,0.9666666984558105,0.7749999761581421,0.3891422152519226
QRNN_cifar2_ntrain1000_batch64_1_5_rep2,0.6921704411506653,0.6938651204109192,0.5222222208976746,0.5049999952316284,0.0016946792602539062
QRNN_cifar2_ntrain1000_batch64_1_5_rep3,0.1943085491657257,0.46490028500556946,0.9688889384269714,0.8050000071525574,0.27059173583984375
QRNN_cifar2_ntrain1000_batch64_1_5_rep4,0.15920959413051605,0.4248991310596466,0.9644444584846497,0.8299999833106995,0.26568955183029175
QRNN_cifar2_ntrain1000_batch64_1_5_rep5,0.2090456187725067,0.49327367544174194,0.9600000381469727,0.7949999570846558,0.28422805666923523
QRNN_cifar2_ntrain2000_batch128_1_5_rep1,0.6930171251296997,0.6939105987548828,0.5083333253860474,0.4724999964237213,0.0008934736251831055
QRNN_cifar2_ntrain2000_batch128_1_5_rep2,0.11884436756372452,0.3514944314956665,0.9850000143051147,0.8725000023841858,0.23265007138252258
QRNN_cifar2_ntrain2000_batch128_1_5_rep3,0.17328591644763947,0.32881662249565125,0.9788889288902283,0.8849999904632568,0.15553070604801178
QRNN_cifar2_ntrain2000_batch128_1_5_rep4,0.1697426438331604,0.35760799050331116,0.9811111092567444,0.8725000023841858,0.18786534667015076
QRNN_cifar2_ntrain2000_batch128_1_5_rep5,0.16844616830348969,0.37351444363594055,0.9816666841506958,0.8499999642372131,0.20506827533245087
QRNN_cifar2_ntrain5000_batch128_1_5_rep1,0.07946871221065521,0.29637807607650757,0.9882222414016724,0.9040000438690186,0.21690936386585236
QRNN_cifar2_ntrain5000_batch128_1_5_rep2,0.11085009574890137,0.2837331295013428,0.988444447517395,0.9050000309944153,0.1728830337524414
QRNN_cifar2_ntrain5000_batch128_1_5_rep3,0.15614065527915955,0.3094111979007721,0.9902222156524658,0.8980000615119934,0.15327054262161255
QRNN_cifar2_ntrain5000_batch128_1_5_rep4,0.15760548412799835,0.3027927875518799,0.988444447517395,0.8980000615119934,0.14518730342388153
QRNN_cifar2_ntrain5000_batch128_1_5_rep5,0.15808218717575073,0.3287377655506134,0.9880000352859497,0.8840000629425049,0.17065557837486267
QRNN_cifar2_ntrain10000_batch256_1_5_rep1,0.15669211745262146,0.3027498722076416,0.9887778162956238,0.9005000591278076,0.14605775475502014
QRNN_cifar2_ntrain10000_batch256_1_5_rep2,0.12174898386001587,0.272453635931015,0.9898889064788818,0.9105000495910645,0.15070465207099915
QRNN_cifar2_ntrain10000_batch256_1_5_rep3,0.15400046110153198,0.2778264284133911,0.9904444813728333,0.9175000190734863,0.12382596731185913
QRNN_cifar2_ntrain10000_batch256_1_5_rep4,0.09703025221824646,0.28308042883872986,0.9900000095367432,0.9050000309944153,0.1860501766204834
QRNN_cifar2_ntrain10000_batch256_1_5_rep5,0.1561674028635025,0.292689710855484,0.988444447517395,0.9075000286102295,0.1365223079919815
QRNN_mnist_ntrain500_batch64__rep1,0.16592945158481598,0.10600079596042633,0.9440000653266907,0.9899999499320984,-0.05992865562438965
QRNN_mnist_ntrain500_batch64__rep2,0.16592945158481598,0.10600079596042633,0.9440000653266907,0.9899999499320984,-0.05992865562438965
QRNN_mnist_ntrain500_batch64__rep3,0.16592945158481598,0.10600079596042633,0.9440000653266907,0.9899999499320984,-0.05992865562438965
QRNN_mnist_ntrain500_batch64__rep4,0.16592945158481598,0.10600079596042633,0.9440000653266907,0.9899999499320984,-0.05992865562438965
QRNN_mnist_ntrain500_batch64__rep5,0.16592945158481598,0.10600079596042633,0.9440000653266907,0.9899999499320984,-0.05992865562438965
QRNN_mnist_ntrain1000_batch64__rep1,0.19360558688640594,0.12794654071331024,0.9390000700950623,0.9799999594688416,-0.0656590461730957
QRNN_mnist_ntrain1000_batch64__rep2,0.19360558688640594,0.12794654071331024,0.9390000700950623,0.9799999594688416,-0.0656590461730957
QRNN_mnist_ntrain1000_batch64__rep3,0.19360558688640594,0.12794654071331024,0.9390000700950623,0.9799999594688416,-0.0656590461730957
QRNN_mnist_ntrain1000_batch64__rep4,0.19360558688640594,0.12794654071331024,0.9390000700950623,0.9799999594688416,-0.0656590461730957
QRNN_mnist_ntrain1000_batch64__rep5,0.19360558688640594,0.12794654071331024,0.9390000700950623,0.9799999594688416,-0.0656590461730957
QRNN_mnist_ntrain2000_batch128__rep1,0.18006758391857147,0.12595482170581818,0.9470000267028809,0.9624999761581421,-0.054112762212753296
QRNN_mnist_ntrain2000_batch128__rep2,0.18006758391857147,0.12595482170581818,0.9470000267028809,0.9624999761581421,-0.054112762212753296
QRNN_mnist_ntrain2000_batch128__rep3,0.18006758391857147,0.12595482170581818,0.9470000267028809,0.9624999761581421,-0.054112762212753296
QRNN_mnist_ntrain2000_batch128__rep4,0.18006758391857147,0.12595482170581818,0.9470000267028809,0.9624999761581421,-0.054112762212753296
QRNN_mnist_ntrain2000_batch128__rep5,0.18006758391857147,0.12595482170581818,0.9470000267028809,0.9624999761581421,-0.054112762212753296
QRNN_mnist_ntrain5000_batch128__rep1,0.18141286075115204,0.17543888092041016,0.9465999603271484,0.9470000267028809,-0.005973979830741882
QRNN_mnist_ntrain5000_batch128__rep2,0.18141286075115204,0.17543888092041016,0.9465999603271484,0.9470000267028809,-0.005973979830741882
QRNN_mnist_ntrain5000_batch128__rep3,0.18141286075115204,0.17543888092041016,0.9465999603271484,0.9470000267028809,-0.005973979830741882
QRNN_mnist_ntrain5000_batch128__rep4,0.18141286075115204,0.17543888092041016,0.9465999603271484,0.9470000267028809,-0.005973979830741882
QRNN_mnist_ntrain5000_batch128__rep5,0.18141286075115204,0.17543888092041016,0.9465999603271484,0.9470000267028809,-0.005973979830741882
QRNN_mnist_ntrain10000_batch256__rep1,0.18258850276470184,0.17199881374835968,0.9452999830245972,0.9505000710487366,-0.010589689016342163
QRNN_mnist_ntrain10000_batch256__rep2,0.18258850276470184,0.17199881374835968,0.9452999830245972,0.9505000710487366,-0.010589689016342163
QRNN_mnist_ntrain10000_batch256__rep3,0.18258850276470184,0.17199881374835968,0.9452999830245972,0.9505000710487366,-0.010589689016342163
QRNN_mnist_ntrain10000_batch256__rep4,0.18258850276470184,0.17199881374835968,0.9452999830245972,0.9505000710487366,-0.010589689016342163
QRNN_mnist_ntrain10000_batch256__rep5,0.18258850276470184,0.17199881374835968,0.9452999830245972,0.9505000710487366,-0.010589689016342163
QRNN_mnist_ntrain500_batch64_6_9_rep1,0.4595661759376526,0.5060476064682007,0.7660000324249268,0.7400000095367432,0.046481430530548096
QRNN_mnist_ntrain500_batch64_6_9_rep2,0.4595661759376526,0.5060476064682007,0.7660000324249268,0.7400000095367432,0.046481430530548096
QRNN_mnist_ntrain500_batch64_6_9_rep3,0.4595661759376526,0.5060476064682007,0.7660000324249268,0.7400000095367432,0.046481430530548096
QRNN_mnist_ntrain500_batch64_6_9_rep4,0.4595661759376526,0.5060476064682007,0.7660000324249268,0.7400000095367432,0.046481430530548096
QRNN_mnist_ntrain500_batch64_6_9_rep5,0.4595661759376526,0.5060476064682007,0.7660000324249268,0.7400000095367432,0.046481430530548096
QRNN_mnist_ntrain1000_batch64_6_9_rep1,0.42559999227523804,0.4578157067298889,0.7930000424385071,0.7699999809265137,0.03221571445465088
QRNN_mnist_ntrain1000_batch64_6_9_rep2,0.42559999227523804,0.4578157067298889,0.7930000424385071,0.7699999809265137,0.03221571445465088
QRNN_mnist_ntrain1000_batch64_6_9_rep3,0.42559999227523804,0.4578157067298889,0.7930000424385071,0.7699999809265137,0.03221571445465088
QRNN_mnist_ntrain1000_batch64_6_9_rep4,0.42559999227523804,0.4578157067298889,0.7930000424385071,0.7699999809265137,0.03221571445465088
QRNN_mnist_ntrain1000_batch64_6_9_rep5,0.42559999227523804,0.4578157067298889,0.7930000424385071,0.7699999809265137,0.03221571445465088
QRNN_mnist_ntrain2000_batch128_6_9_rep1,0.4304896891117096,0.42191237211227417,0.7925000190734863,0.7874999642372131,-0.008577316999435425
QRNN_mnist_ntrain2000_batch128_6_9_rep2,0.4304896891117096,0.42191237211227417,0.7925000190734863,0.7874999642372131,-0.008577316999435425
QRNN_mnist_ntrain2000_batch128_6_9_rep3,0.4304896891117096,0.42191237211227417,0.7925000190734863,0.7874999642372131,-0.008577316999435425
QRNN_mnist_ntrain2000_batch128_6_9_rep4,0.4304896891117096,0.42191237211227417,0.7925000190734863,0.7874999642372131,-0.008577316999435425
QRNN_mnist_ntrain2000_batch128_6_9_rep5,0.4304896891117096,0.42191237211227417,0.7925000190734863,0.7874999642372131,-0.008577316999435425
QRNN_mnist_ntrain5000_batch128_6_9_rep1,0.4339173138141632,0.42663973569869995,0.7917999625205994,0.781000018119812,-0.007277578115463257
QRNN_mnist_ntrain5000_batch128_6_9_rep2,0.4339173138141632,0.42663973569869995,0.7917999625205994,0.781000018119812,-0.007277578115463257
QRNN_mnist_ntrain5000_batch128_6_9_rep3,0.4339173138141632,0.42663973569869995,0.7917999625205994,0.781000018119812,-0.007277578115463257
QRNN_mnist_ntrain5000_batch128_6_9_rep4,0.4339173138141632,0.42663973569869995,0.7917999625205994,0.781000018119812,-0.007277578115463257
QRNN_mnist_ntrain5000_batch128_6_9_rep5,0.4339173138141632,0.42663973569869995,0.7917999625205994,0.781000018119812,-0.007277578115463257
